TAIL_NUMBER,YEAR MANUFACTURED,MANUFACTURER,MODEL,NO-ENG,NO-SEATS
N935UW,1994,BOEING                        ,757-2B7             ,2,178
N409UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N7711N,2005,BOEING                        ,737-76N             ,2,149
N8601C,2012,BOEING                        ,737-8H4             ,2,140
N8324A,2012,BOEING                        ,737-8H4             ,2,140
N7733B,2006,BOEING                        ,737-76N             ,2,149
N8602F,2012,BOEING                        ,737-8H4             ,2,140
N428WN,2002,BOEING                        ,737-7H4             ,2,140
N513AS,2008,BOEING                        ,737-890             ,2,149
N658JB,2007,AIRBUS                        ,A320-232            ,2,200
N935JB,2014,AIRBUS INDUSTRIE              ,A321-231            ,2,379
N551NW,2001,BOEING                        ,757-251             ,2,178
N310NW,1990,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N681DA,1993,BOEING                        ,757-232             ,2,178
N313US,1990,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N655DL,1990,BOEING                        ,757-232             ,2,178
N805SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N813SK,2006,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N899SK,2007,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N607LR,2008,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N13132,2003,EMBRAER                       ,EMB-145XR           ,2,55
N684DA,1993,BOEING                        ,757-232             ,2,178
N281AY,2009,AIRBUS                        ,A330-243            ,2,377
N202UW,1995,BOEING                        ,757-2B7             ,2,178
N188US,2002,AIRBUS                        ,A321-211            ,2,199
N167US,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N154UW,2013,AIRBUS                        ,A321-211            ,2,199
N463UA,2000,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N921WN,2008,BOEING                        ,737-7H4             ,2,140
N8638A,2014,BOEING                        ,737-8H4             ,2,140
N232WN,2006,BOEING                        ,737-7H4             ,2,140
N948WN,2010,BOEING                        ,737-7H4             ,2,140
N7718B,2005,BOEING                        ,737-76N             ,2,149
N7747C,2007,BOEING                        ,737-7BD             ,2,149
N8316H,2012,BOEING                        ,737-8H4             ,2,140
N923WN,2008,BOEING                        ,737-7H4             ,2,140
N77525,2010,BOEING                        ,737-824             ,2,149
N191UW,2001,AIRBUS INDUSTRIE              ,A321-211            ,2,199
N583AA,1991,MCDONNELL DOUGLAS             ,DC-9-82(MD-82)      ,2,172
N528AS,2009,BOEING                        ,737-890             ,2,149
N929DL,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N379DA,1999,BOEING                        ,737-832             ,2,189
N588NW,2003,BOEING                        ,757-351             ,2,275
N6703D,2000,BOEING                        ,757-232             ,2,178
N308DE,    ,BOEING                        ,737-732             ,2,149
N340NW,1992,AIRBUS INDUSTRIE              ,A320-212            ,2,182
N931DL,1988,MCDONNELL DOUGLAS AIRCRAFT CO ,MD-88               ,2,142
N19554,2002,EMBRAER                       ,EMB-145LR           ,2,55
N21537,2001,EMBRAER                       ,EMB-145LR           ,2,55
N728SK,2005,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N584SW,1999,EMBRAER                       ,EMB-120ER           ,2,32
N27190,2005,EMBRAER                       ,EMB-145XR           ,2,55
N754UW,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N892AT,2004,BOEING                        ,717-200             ,2,100
N18220,1998,BOEING                        ,737-824             ,2,149
N18243,1999,BOEING                        ,737-824             ,2,149
N17146,2003,EMBRAER                       ,EMB-145XR           ,2,55
N73860,2001,BOEING                        ,757-33N             ,2,275
N763US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N730US,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N812AW,2000,AIRBUS INDUSTRIE              ,A319-132            ,2,179
N640VA,2007,AIRBUS                        ,A320-214            ,2,182
N250WN,2006,BOEING                        ,737-7H4             ,2,140
N718SW,1998,BOEING                        ,737-7H4             ,2,140
N707SA,1998,BOEING                        ,737-7H4             ,2,140
N8310C,2012,BOEING                        ,737-8H4             ,2,140
N387SW,1994,BOEING                        ,737-3H4             ,2,149
N8650F,2014,BOEING                        ,737-8H4             ,2,140
N211WN,2005,BOEING                        ,737-7H4             ,2,140
N432WN,2003,BOEING                        ,737-7H4             ,2,140
N491WN,2004,BOEING                        ,737-7H4             ,2,140
N655AW,1999,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N560AS,2006,BOEING                        ,737-890             ,2,149
N718TW,1999,BOEING                        ,757-231             ,2,178
N823DN,2014,BOEING                        ,737-932ER           ,2,222
N317US,1991,AIRBUS INDUSTRIE              ,A320-211            ,2,182
N14198,2006,EMBRAER                       ,EMB-145XR           ,2,55
N138EV,2009,BOMBARDIER INC                ,CL-600-2D24         ,2,95
N391HA,2013,AIRBUS                        ,A330-243            ,2,377
N590HA,2002,BOEING                        ,767-3CB             ,2,300
N609NK,2011,AIRBUS                        ,A320-232            ,2,200
N779CA,1999,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N603QX,2001,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N448SW,2002,BOMBARDIER INC                ,CL-600-2B19         ,2,55
N689DL,1998,BOEING                        ,757-232             ,2,178
N723EV,2004,BOMBARDIER INC                ,CL-600-2C10         ,2,80
N77520,2010,BOEING                        ,737-824             ,2,149
N770UW,2000,AIRBUS INDUSTRIE              ,A319-112            ,2,179
N7750A,2008,BOEING                        ,737-7BD             ,2,149
N411WN,2001,BOEING                        ,737-7H4             ,2,140
N715SW,1998,BOEING                        ,737-7H4             ,2,140
N945WN,2010,BOEING                        ,737-7H4             ,2,140
N732SW,1999,BOEING                        ,737-7H4             ,2,140
N709SW,1998,BOEING                        ,737-7H4             ,2,140
N417WN,2001,BOEING                        ,737-7H4             ,2,140
N8643A,2014,BOEING                        ,737-8H4             ,2,140
N774SW,2000,BOEING                        ,737-7H4             ,2,140
N403WN,2001,BOEING                        ,737-7H4             ,2,140
N769SW,2000,BOEING                        ,737-7H4             ,2,140
N54241,1999,BOEING                        ,737-824             ,2,149
N407UA,1994,AIRBUS INDUSTRIE              ,A320-232            ,2,200
N75428,2008,BOEING                        ,737-924ER           ,2,191
N559AS,2006,BOEING                        ,737-890             ,2,149
